,년(Annual),시도,시군구,계
820,2023,경남,사천시,398
821,2023,경남,김해시,463
822,2023,경남,밀양시,798
823,2023,경남,거제시,403
824,2023,경남,양산시,485
825,2023,경남,의령군,482
826,2023,경남,함안군,416
827,2023,경남,창녕군,532
828,2023,경남,고성군,518
829,2023,경남,남해군,357
830,2023,경남,하동군,675
831,2023,경남,산청군,794
832,2023,경남,함양군,724
833,2023,경남,거창군,803
834,2023,경남,합천군,983
835,2023,제주,제주,1849
836,2023,제주,제주시,978
837,2023,제주,서귀포시,871
